person_id,name,type,total_votes,average_score,total_numbers
896,Jesse C. Boyd,MOVIE,129417.0,6.800000000000001,2
897,Brad James,MOVIE,17170.0,5.2,1
906,David Arquette,MOVIE,14592.0,7.1499999999999995,2
907,Neve Campbell,MOVIE,118811.0,6.6,1
909,Sarah Michelle Gellar,MOVIE,206758.0,5.95,2
909,Sarah Michelle Gellar,SHOW,26127.0,5.2,2
910,Jamie Kennedy,MOVIE,199048.0,6.766666666666667,3
911,Laurie Metcalf,MOVIE,421163.0,6.75,2
911,Laurie Metcalf,SHOW,4963.0,6.4,1
912,Elise Neal,MOVIE,734.0,3.7,1
913,Jerry O'Connell,MOVIE,469470.0,5.566666666666666,3
914,Timothy Olyphant,MOVIE,37890.0,6.1,2
914,Timothy Olyphant,SHOW,64467.0,7.9,1
915,Heather Graham,MOVIE,28629.0,6.133333333333333,3
916,Jada Pinkett Smith,MOVIE,57399.0,7.5,1
916,Jada Pinkett Smith,SHOW,96.0,6.5,1
917,Liev Schreiber,MOVIE,625936.0,6.733333333333333,3
918,Omar Epps,MOVIE,0.0,,1
918,Omar Epps,SHOW,35547.0,7.5,1
920,Portia de Rossi,SHOW,297552.0,8.7,1
922,Joshua Jackson,MOVIE,2341.0,7.8,1
922,Joshua Jackson,SHOW,1281.0,7.8,1
923,Selma Blair,MOVIE,143301.0,5.2,4
925,Wes Craven,MOVIE,230543.0,7.4,1
931,Antonio Banderas,MOVIE,971825.0,6.2444444444444445,9
931,Antonio Banderas,SHOW,330.0,6.5,1
932,Birgitte Hjort Sørensen,SHOW,23523.0,8.5,1
933,Melanie Griffith,MOVIE,203350.0,6.4,2
934,Dylan McDermott,MOVIE,374273.0,6.85,2
934,Dylan McDermott,SHOW,35067.0,7.5,1
935,Robert Forster,MOVIE,710724.0,6.457142857142857,7
936,Tim McInnerny,SHOW,41782.0,7.6,1
937,Andy Nyman,MOVIE,17110.0,6.85,4
937,Andy Nyman,SHOW,19684.0,7.6,1
938,David Ryall,MOVIE,20194.0,6.8,1
941,Christa Campbell,MOVIE,90601.0,5.85,2
946,Javier Bardem,MOVIE,34009.0,6.9,1
948,Geraldine Somerville,MOVIE,314049.0,7.8,1
962,Ray Stevenson,MOVIE,575557.0,6.699999999999999,2
963,Ed Skrein,MOVIE,43859.0,5.8999999999999995,3
965,Gabriella Wright,MOVIE,18656.0,6.800000000000001,2
971,Yuri Kolokolnikov,MOVIE,174693.0,6.6,2
972,Felicitas Woll,MOVIE,533.0,3.8,1
975,Anatole Taubman,MOVIE,441023.0,6.6,1
975,Anatole Taubman,SHOW,19547.0,7.85,2
979,Camille Delamarre,MOVIE,42137.0,5.6,1
988,Virginia Madsen,MOVIE,122812.0,5.6,2
995,Mekhi Phifer,MOVIE,73566.0,4.2,2
995,Mekhi Phifer,SHOW,13625.0,7.5,1
996,Josh Hartnett,MOVIE,25582.0,6.4,1
1000,Martin Sheen,MOVIE,102885.0,5.6000000000000005,4
1000,Martin Sheen,SHOW,48435.0,8.2,1
1002,Elden Henson,MOVIE,732.0,5.6,1
1005,John Heard,MOVIE,243796.0,6.8999999999999995,3
1007,Tim Blake Nelson,MOVIE,449062.0,6.875,4
1007,Tim Blake Nelson,SHOW,4181.0,7.0,1
1027,Erin Fitzgerald,MOVIE,156.0,5.7,2
1027,Erin Fitzgerald,SHOW,2057.0,7.366666666666667,3
1050,Ernest Borgnine,MOVIE,298168.0,7.8,1
1052,Michael Murphy,MOVIE,8655.0,7.449999999999999,2
1069,Will Ferrell,MOVIE,842642.0,6.366666666666667,6
1071,Mark Wahlberg,MOVIE,822362.0,6.7,4
1072,Linda Cardellini,SHOW,123138.0,7.95,2
1074,Hannibal Buress,MOVIE,151121.0,6.949999999999999,2
1075,LaMonica Garrett,MOVIE,6981.0,5.3,1
1076,Lee Tockar,MOVIE,10788.0,6.25,5
1076,Lee Tockar,SHOW,9777.0,5.975,4
1077,Alessandra Ambrosio,MOVIE,689051.0,7.6,2
1078,Kerry Cahill,MOVIE,368699.0,6.3,3
1079,Scarlett Estevez,MOVIE,78.0,7.3,1
1081,Owen Vaccaro,MOVIE,15328.0,5.699999999999999,2
1082,Bobby Cannavale,MOVIE,746114.0,6.32,5
1082,Bobby Cannavale,SHOW,6042.0,7.5,2
1084,Paul Scheer,MOVIE,180892.0,6.7,5
1085,John Cena,MOVIE,22705.0,3.35,2
1088,Eric Kissack,MOVIE,69241.0,6.2,1
1092,Adam McKay,MOVIE,1024485.0,6.8,3
1107,Logan Lerman,MOVIE,270231.0,7.2,1
1112,Paul Rudd,MOVIE,452714.0,6.316666666666666,7
1112,Paul Rudd,SHOW,63156.0,7.275,4
1113,Nina Dobrev,MOVIE,133793.0,6.5,3
1114,Mae Whitman,MOVIE,3909.0,5.3,1
1114,Mae Whitman,SHOW,347203.0,8.5,2
1116,Johnny Simmons,MOVIE,855.0,6.1,1
1116,Johnny Simmons,SHOW,17525.0,7.0,1
1117,Joan Cusack,MOVIE,270617.0,6.459999999999999,5
