index,id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,genre_split,country
1470,ts35359,Heidi,SHOW,2015,TV-Y,27,"['drama', 'family', 'animation', 'european']","['DE', 'AU', 'FR']",2.0,tt4346362,7.2,234.0,animation,FR
1470,ts35359,Heidi,SHOW,2015,TV-Y,27,"['drama', 'family', 'animation', 'european']","['DE', 'AU', 'FR']",2.0,tt4346362,7.2,234.0,european,DE
1470,ts35359,Heidi,SHOW,2015,TV-Y,27,"['drama', 'family', 'animation', 'european']","['DE', 'AU', 'FR']",2.0,tt4346362,7.2,234.0,european,AU
1470,ts35359,Heidi,SHOW,2015,TV-Y,27,"['drama', 'family', 'animation', 'european']","['DE', 'AU', 'FR']",2.0,tt4346362,7.2,234.0,european,FR
1472,ts37779,Danger Mouse,SHOW,2015,,12,"['comedy', 'crime', 'family', 'fantasy', 'scifi', 'animation', 'action', 'european']",['GB'],2.0,tt4196822,7.2,579.0,comedy,GB
1472,ts37779,Danger Mouse,SHOW,2015,,12,"['comedy', 'crime', 'family', 'fantasy', 'scifi', 'animation', 'action', 'european']",['GB'],2.0,tt4196822,7.2,579.0,crime,GB
1472,ts37779,Danger Mouse,SHOW,2015,,12,"['comedy', 'crime', 'family', 'fantasy', 'scifi', 'animation', 'action', 'european']",['GB'],2.0,tt4196822,7.2,579.0,family,GB
1472,ts37779,Danger Mouse,SHOW,2015,,12,"['comedy', 'crime', 'family', 'fantasy', 'scifi', 'animation', 'action', 'european']",['GB'],2.0,tt4196822,7.2,579.0,fantasy,GB
1472,ts37779,Danger Mouse,SHOW,2015,,12,"['comedy', 'crime', 'family', 'fantasy', 'scifi', 'animation', 'action', 'european']",['GB'],2.0,tt4196822,7.2,579.0,scifi,GB
1472,ts37779,Danger Mouse,SHOW,2015,,12,"['comedy', 'crime', 'family', 'fantasy', 'scifi', 'animation', 'action', 'european']",['GB'],2.0,tt4196822,7.2,579.0,animation,GB
1472,ts37779,Danger Mouse,SHOW,2015,,12,"['comedy', 'crime', 'family', 'fantasy', 'scifi', 'animation', 'action', 'european']",['GB'],2.0,tt4196822,7.2,579.0,action,GB
1472,ts37779,Danger Mouse,SHOW,2015,,12,"['comedy', 'crime', 'family', 'fantasy', 'scifi', 'animation', 'action', 'european']",['GB'],2.0,tt4196822,7.2,579.0,european,GB
1475,ts42089,Haters Back Off,SHOW,2016,TV-14,30,"['comedy', 'drama', 'family', 'romance']",['US'],2.0,tt5467814,6.1,7183.0,comedy,US
1475,ts42089,Haters Back Off,SHOW,2016,TV-14,30,"['comedy', 'drama', 'family', 'romance']",['US'],2.0,tt5467814,6.1,7183.0,drama,US
1475,ts42089,Haters Back Off,SHOW,2016,TV-14,30,"['comedy', 'drama', 'family', 'romance']",['US'],2.0,tt5467814,6.1,7183.0,family,US
1475,ts42089,Haters Back Off,SHOW,2016,TV-14,30,"['comedy', 'drama', 'family', 'romance']",['US'],2.0,tt5467814,6.1,7183.0,romance,US
1476,ts42075,Intersection,SHOW,2016,TV-MA,97,['drama'],['TR'],2.0,tt5303668,6.7,1152.0,drama,TR
1477,ts43272,Terrace House: Boys & Girls in the City,SHOW,2015,TV-14,29,"['reality', 'drama']",['JP'],1.0,tt4790546,8.1,1624.0,reality,JP
1477,ts43272,Terrace House: Boys & Girls in the City,SHOW,2015,TV-14,29,"['reality', 'drama']",['JP'],1.0,tt4790546,8.1,1624.0,drama,JP
1479,ts41883,The K2,SHOW,2016,TV-14,65,"['war', 'drama', 'romance', 'thriller']",['KR'],1.0,tt8535796,7.9,5615.0,war,KR
1479,ts41883,The K2,SHOW,2016,TV-14,65,"['war', 'drama', 'romance', 'thriller']",['KR'],1.0,tt8535796,7.9,5615.0,drama,KR
1479,ts41883,The K2,SHOW,2016,TV-14,65,"['war', 'drama', 'romance', 'thriller']",['KR'],1.0,tt8535796,7.9,5615.0,romance,KR
1479,ts41883,The K2,SHOW,2016,TV-14,65,"['war', 'drama', 'romance', 'thriller']",['KR'],1.0,tt8535796,7.9,5615.0,thriller,KR
1480,ts36630,Dinotrux,SHOW,2015,TV-Y7,23,"['action', 'comedy', 'family', 'animation']",['US'],5.0,tt1396212,6.8,458.0,action,US
1480,ts36630,Dinotrux,SHOW,2015,TV-Y7,23,"['action', 'comedy', 'family', 'animation']",['US'],5.0,tt1396212,6.8,458.0,comedy,US
1480,ts36630,Dinotrux,SHOW,2015,TV-Y7,23,"['action', 'comedy', 'family', 'animation']",['US'],5.0,tt1396212,6.8,458.0,family,US
1480,ts36630,Dinotrux,SHOW,2015,TV-Y7,23,"['action', 'comedy', 'family', 'animation']",['US'],5.0,tt1396212,6.8,458.0,animation,US
1481,ts41260,"Hello, My Twenties!",SHOW,2016,TV-14,63,"['comedy', 'drama', 'romance']",['KR'],2.0,tt5858892,8.3,2127.0,comedy,KR
